listing_id,listing_url,reviewer_id,date,reviewer_name,review_id,infor_under_name,rating,response
51876246,https://www.airbnb.com/rooms/51876246,501227055,September 2023,Cédric,973971520192535334,"Brussels, Belgium",5,
51876246,https://www.airbnb.com/rooms/51876246,119825112,February 2023,Aaron,832596773984459224,"Dallas, Texas",5,
51876246,https://www.airbnb.com/rooms/51876246,346536447,December 2022,Erin,785527156699801767,"Manchester, New Hampshire",5,
51876246,https://www.airbnb.com/rooms/51876246,168019179,February 2022,Victoria,564467698228821336,"Portland, Oregon",5,
51876246,https://www.airbnb.com/rooms/51876246,86184402,August 2023,Linda/Richard,955825720934880299,"San Anselmo, California",5,
51876246,https://www.airbnb.com/rooms/51876246,152060878,May 2023,Daniela,900759290284580834,"Oldenburg, Germany",5,
51876246,https://www.airbnb.com/rooms/51876246,83796797,February 2022,Jamee,571768569003115777,"Bowie, Maryland",5,
51876246,https://www.airbnb.com/rooms/51876246,202347855,March 2023,Afafa,851504866767078346,"Chicago, Illinois",5,
51876246,https://www.airbnb.com/rooms/51876246,434171112,January 2023,J,796384370943486784,"Milwaukee, Wisconsin",5,
51876246,https://www.airbnb.com/rooms/51876246,160202490,August 2022,Ambur,699219119732837524,"Cambridge, Canada",5,
51876246,https://www.airbnb.com/rooms/51876246,19732249,May 2022,Ryan,627531168909882482,"Atlanta, Georgia",5,
51876246,https://www.airbnb.com/rooms/51876246,60245945,January 2023,Klaudia,805881220030848664,"Hamilton, Bermuda",4,
51876246,https://www.airbnb.com/rooms/51876246,5569081,February 2023,Chaim,835576291739089540,11 years on Airbnb,5,
51876246,https://www.airbnb.com/rooms/51876246,44662431,April 2023,Emma,871696340310538061,"Amsterdam, Netherlands",5,
51876246,https://www.airbnb.com/rooms/51876246,280342824,November 2022,Raquel,764471230683269088,"Girona, Spain",5,
51876246,https://www.airbnb.com/rooms/51876246,413221033,March 2023,Kanokwan,856550577306130978,3 years on Airbnb,5,
51876246,https://www.airbnb.com/rooms/51876246,265243528,December 2022,Alejandro,780431337737434486,"DeLand, Florida",5,
51876246,https://www.airbnb.com/rooms/51876246,415976377,August 2022,Camille,697105213128492648,France,4,
51876246,https://www.airbnb.com/rooms/51876246,179222089,November 2022,Denise,769532340058006552,"Berlin, Germany",5,
51876246,https://www.airbnb.com/rooms/51876246,7473566,July 2023,Celia,928303925138725915,"Maisons-Laffitte, France",4,
51876246,https://www.airbnb.com/rooms/51876246,11308110,July 2023,James,933315692245274585,"Rio de Janeiro, Brazil",5,
51876246,https://www.airbnb.com/rooms/51876246,52670944,October 2022,Kamila,739846348263178183,"Mexico City, Mexico",5,
51876246,https://www.airbnb.com/rooms/51876246,172581384,February 2022,Katey,567350260438124742,"Wilmington, Massachusetts",5,
51876246,https://www.airbnb.com/rooms/51876246,117650002,October 2022,Noam,734796531147608941,Israel,5,
51876246,https://www.airbnb.com/rooms/51876246,312561711,June 2023,Allison,922513440421843948,"Lebanon, Connecticut",5,
51876246,https://www.airbnb.com/rooms/51876246,19498808,April 2023,Jessica,866638041241488735,"Boulogne-Billancourt, France",5,
51876246,https://www.airbnb.com/rooms/51876246,82427409,May 2023,Imania,902917901427301157,"Chicago, Illinois",5,
51764004,https://www.airbnb.com/rooms/51764004,115707657,July 2022,Mark,683350397206658923,"Tenafly, New Jersey",5,
51764135,https://www.airbnb.com/rooms/51764135,114262640,October 2021,Andrew,470183104009590110,"West Chester, Pennsylvania",5,
51764135,https://www.airbnb.com/rooms/51764135,1819853,August 2023,Nic,952255717967333125,12 years on Airbnb,5,
51764135,https://www.airbnb.com/rooms/51764135,451270722,April 2022,Okkan,602078412607029870,Germany,5,
51764135,https://www.airbnb.com/rooms/51764135,416802,January 2022,Fernando,549946588424028948,"Brussels, Belgium",5,
51764135,https://www.airbnb.com/rooms/51764135,461838762,June 2023,Quinn,916643197822436778,2 years on Airbnb,5,
51764135,https://www.airbnb.com/rooms/51764135,77935151,February 2022,Chaow,555747986435647140,"Montreal, Canada",5,
51764135,https://www.airbnb.com/rooms/51764135,8493924,June 2022,Merav,657976374512539798,"Rosh Haayin, Israel",5,
51764135,https://www.airbnb.com/rooms/51764135,76643260,March 2022,Cristian,592015063586366370,"Los Angeles, California",5,
51764135,https://www.airbnb.com/rooms/51764135,307234166,July 2023,Wallace,933392815991646251,"El Segundo, California",5,
51764135,https://www.airbnb.com/rooms/51764135,85261644,August 2022,Heidi,696345222085606706,"Münster, Germany",5,
51764135,https://www.airbnb.com/rooms/51764135,17363937,November 2021,Teresa,505776896768680077,"Majadahonda, Spain",5,
51764135,https://www.airbnb.com/rooms/51764135,44141418,January 2023,Giulia,795728895920419632,"Fano, Italy",5,
51764135,https://www.airbnb.com/rooms/51764135,435317228,October 2022,Jerry,728959545134914158,2 years on Airbnb,5,
51764135,https://www.airbnb.com/rooms/51764135,278262229,July 2022,Alex,678235047296886724,5 years on Airbnb,5,
51764135,https://www.airbnb.com/rooms/51764135,347905557,July 2023,Nancy,943529292136424056,"Sacramento, California",5,
51764135,https://www.airbnb.com/rooms/51764135,13563954,November 2022,J,768838280077050686,"Fort Collins, Colorado",5,
